Time [s],easting [m],northing [m],altitude [m],local_rssi [dBm],remote_rssi[dBm]
0:00:00.515713,590723.742328429,6136521.765280648,72.34585949694684,-29.6,-29.1
0:00:01.220706,590723.6445176633,6136521.896854255,72.33386055331454,-26.5,-27.0
0:00:02.221891,590723.6084824105,6136522.107622315,72.29385904676525,-30.7,-27.5
0:00:03.221497,590723.7105037766,6136522.38802111,72.3148530665539,-33.8,-33.3
0:00:04.221205,590723.7897834983,6136523.157762519,72.08384197315448,-39.6,-37.5
0:00:06.963628,590726.4997552964,6136524.5715904515,71.22175360687811,-31.7,-33.3
0:00:07.656975,590725.7033133394,6136526.302946999,71.26275449730554,-33.8,-32.8
0:00:08.326070,590726.4669024183,6136526.786192897,71.41272860611674,-39.6,-35.9
0:00:09.221417,590727.1268688064,6136527.06693147,71.45970782801746,-50.7,-45.9
0:00:10.221280,590727.5808260775,6136527.49928311,71.42769074061772,-53.8,-49.1
0:00:11.221372,590727.9628727826,6136528.653739497,71.30466712308277,-50.7,-52.3
0:00:12.221161,590727.9742673814,6136529.3330288315,71.14765888437068,-51.2,-50.2
0:00:13.222274,590727.9128363625,6136530.778932255,70.84564361916347,-51.7,-51.7
0:00:14.221879,590727.8160327808,6136531.478261032,70.70763801459194,-57.5,-54.4
0:00:15.221591,590727.7183140686,6136532.222099196,70.61263191403305,-56.5,-57.0
0:00:16.221777,590727.4788101582,6136533.38604003,70.60162466368246,-51.7,-53.3
0:00:17.222368,590727.0872021058,6136534.546853483,70.73162148238302,-50.7,-50.7
0:00:18.221425,590727.0051331451,6136535.1462967815,70.75261665347962,-50.7,-50.7
0:00:19.221527,590726.7621056619,6136535.8648832,70.70261469987977,-51.2,-51.2
0:00:20.221101,590726.3245327711,6136537.102675993,70.49761183674086,-50.2,-49.6
0:00:21.221581,590726.2379565556,6136537.612970231,70.35460816868498,-50.7,-50.2
0:00:22.221242,590725.9351448503,6136538.4639120875,69.99360625281972,-52.3,-51.2
0:00:23.221430,590725.6353757313,6136538.858502467,69.76360958948155,-57.0,-54.9
0:00:24.221383,590725.6222428211,6136538.880496548,69.59160968064818,-61.2,-57.5
0:00:25.221783,590724.9441361018,6136539.790514519,69.3686170247349,-54.9,-57.0
0:00:26.221696,590725.8324854719,6136540.064816557,69.56059026467568,-61.7,-59.6
0:00:27.221204,590725.8014834792,6136540.030782988,69.69459148444909,-60.7,-60.7
0:00:28.221510,590725.6831268213,6136539.928161058,69.87159582201981,-59.1,-59.6
0:00:29.221122,590725.6079899243,6136539.882088005,69.95159835271923,-61.7,-61.7
0:00:30.221551,590725.4225960227,6136539.956200562,70.15560240217292,-63.8,-63.8
0:00:31.221468,590725.272253961,6136540.175750461,70.25260382244228,-58.6,-61.2
0:00:32.220847,590724.989599511,6136540.971446565,70.31560201709107,-53.3,-54.4
0:00:33.221370,590724.820176265,6136541.502301561,70.34160030471496,-58.6,-54.9
0:00:34.223603,590724.645125838,6136542.923604866,70.48358833363542,-53.3,-55.4
0:00:35.223228,590724.4727285372,6136543.5991153745,70.55758500894092,-62.3,-57.0
0:00:36.221457,590724.2978146913,6136544.397026698,70.70358032008463,-62.3,-63.3
0:00:37.220795,590723.820615794,6136545.711929337,70.85457760273236,-59.1,-60.2
0:00:38.221439,590723.4913786586,6136546.306290881,70.94657938456072,-60.7,-60.7
0:00:39.221430,590723.1836955067,6136547.702603196,70.97357122003932,-63.8,-62.8
0:00:40.221462,590723.0481806324,6136548.434532308,71.06156625678894,-62.3,-62.3
0:00:41.221564,590722.6597777723,6136549.439563309,70.70456480588429,-66.5,-64.9
0:00:42.221570,590722.3719986279,6136549.867796547,70.32956742990892,-61.2,-61.7
0:00:43.221420,590721.6862519075,6136550.53275279,69.47757783831779,-70.7,-67.5
0:00:44.221732,590721.2810315703,6136550.813854892,69.14758529619576,-65.9,-64.9
0:00:45.221176,590720.7661050257,6136551.805152713,68.52258735977028,-67.0,-65.9
0:00:46.221020,590720.585540769,6136552.569551847,68.20258321038071,-62.8,-64.9
0:00:47.221378,590720.1886062911,6136554.29799088,68.00357352615642,-68.1,-65.9
0:00:48.221071,590720.0743247692,6136555.230733513,67.84556565030644,-62.3,-63.3
0:00:49.220863,590719.93384556,6136555.8957683435,67.64156159903851,-64.4,-62.3
0:00:50.220958,590719.5481213089,6136557.078967456,67.28155799127343,-62.3,-63.8
0:00:51.221425,590719.4673583416,6136557.92334282,67.26655025912896,-63.3,-62.3
0:00:52.222690,590719.0607233946,6136559.506865859,67.80054252364233,-67.0,-66.5
0:00:53.221752,590718.9971433094,6136560.440650895,68.04453328961124,-65.9,-66.5
0:00:54.222499,590718.6124277457,6136562.191605364,68.28952301349803,-61.2,-65.4
0:00:55.221225,590718.1765964528,6136562.728115533,68.17852829499236,-59.1,-61.2
0:00:56.221929,590717.7093311764,6136564.176807581,68.22952374149155,-60.7,-61.2
0:00:57.221152,590717.577410024,6136565.04239532,68.35351711567175,-59.6,-60.7
0:00:58.221334,590717.2440826758,6136566.761010224,68.71750585256878,-61.7,-60.2
0:00:59.221469,590717.1293444362,6136567.716007634,69.02449772457553,-68.1,-63.3
0:01:00.221171,590716.9168644175,6136568.490882796,69.23849429480117,-72.8,-64.9
0:01:01.221153,590716.4398309952,6136570.106354891,69.74648804658814,-65.9,-64.4
0:01:02.221401,590716.1707700937,6136570.857802758,70.05848639048742,-66.5,-65.4
0:01:03.221292,590715.8030780749,6136572.397598472,70.68847812710226,-71.7,-69.6
0:01:04.221298,590715.6596260262,6136573.207288951,70.91447245854131,-69.6,-67.0
0:01:05.221644,590715.3086595903,6136574.858749052,71.35046244407036,-70.7,-68.1
0:01:06.221556,590715.1217594057,6136575.623018122,71.50345845827671,-70.2,-69.6
0:01:07.221322,590714.8808203831,6136577.165419744,71.82744680105355,-67.0,-68.6
0:01:08.221628,590714.6939203504,6136577.929688833,72.00444281466142,-65.4,-65.9
0:01:09.221509,590714.2941513618,6136579.17939191,72.13043879245072,-62.3,-63.8
0:01:10.221487,590714.2550753973,6136579.84651157,72.00843202269259,-65.4,-62.8
0:01:11.224327,590714.0384110997,6136581.133375129,71.76442270977456,-67.5,-67.0
0:01:12.221447,590713.8970183986,6136581.842919547,71.68741815608949,-68.1,-67.0
0:01:13.222376,590713.7975402649,6136582.364080804,71.51641469528946,-71.2,-69.1
0:01:14.224495,590712.7153691587,6136583.49956669,71.49243010192953,-66.5,-69.6
0:01:15.221089,590712.5173020703,6136583.5734192,71.39443448948941,-70.2,-66.5
0:01:16.222643,590712.6080198295,6136583.78679311,71.01142958713726,-70.2,-72.3
0:01:17.221514,590712.4814289414,6136584.084756019,70.74142945687002,-64.4,-64.9
0:01:18.221380,590712.1810976824,6136586.0489546815,70.75041443379916,-71.2,-68.1
0:01:19.221656,590712.1652461634,6136587.128437644,70.84440222065822,-68.6,-71.7
0:01:20.221937,590711.9930396779,6136589.028477989,71.08438454915753,-70.2,-74.4
0:01:21.221468,590711.8000317009,6136589.781489568,71.17438085344044,-71.2,-72.3
0:01:22.221571,590711.3869968113,6136591.676579052,71.3533696238601,-71.7,-71.7
0:01:23.221222,590711.306006951,6136592.532081932,71.43736175755522,-67.0,-67.0
0:01:24.221678,590711.3153710153,6136594.2354780715,71.34034156995617,-63.8,-64.9
0:01:25.221478,590711.1886455488,6136595.156833037,71.23733414471954,-74.4,-67.5
0:01:26.222744,590711.0945230756,6136596.0343300495,71.1413263681224,-70.7,-69.1
0:01:27.221128,590710.9596564639,6136597.968534205,70.93230730070411,-68.6,-69.1
0:01:28.221515,590710.8998995505,6136599.024850494,70.9022965184733,-64.4,-64.4
0:01:29.222840,590710.8586040655,6136599.491547657,70.84129214951732,-60.7,-61.2
0:01:40.240567,590709.8665935771,6136621.223180332,70.3310639413856,-66.5,-67.0
