Time [s], roll [deg], pitch [deg], yaw [deg], pos_x [m], pos_y [m], pos_z [m], pos_raw_x [m], pos_raw_y [m], pos_raw_z [m], position_initialized [b], position_raw_initialized [b], status 
0.117088,-42.8343217000153,72.74807879515528,-82.62341184599792,0,0,0,0,0,0,False,False,
0.217072,-42.522053180252286,72.86086442677716,-80.2584502571965,0,0,0,0.0,0.0,0.0,False,True,AUTO.LOITER
0.316847,-45.18776646627331,73.79420066656219,-81.0663115235688,0,0,0,-0.03779722494073212,-0.011909273453056812,-0.041998858562166674,False,True,AUTO.LOITER
0.416878,-46.49013218104733,74.29551565357325,-81.1521068673707,0,0,0,-0.03779722494073212,-0.011909273453056812,-0.041998858562166674,False,True,AUTO.LOITER
0.516865,-48.16009641507334,74.13247435833999,-81.72418870914122,0,0,0,-0.03779722494073212,-0.011909273453056812,-0.041998858562166674,False,True,AUTO.LOITER
0.616858,-49.06419554037543,74.18336421113592,-81.74369468010877,0,0,0,-0.037568413419649005,-0.02303662057965994,-0.09699873457959995,False,True,AUTO.LOITER
0.716933,-50.17796643082743,74.36971580615271,-82.18718507114485,0,0,0,-0.037568413419649005,-0.02303662057965994,-0.09699873457959995,False,True,AUTO.LOITER
0.817013,-50.550993682703414,74.31153369389934,-82.24442969692649,0,0,0,-0.12041578255593777,-0.0024761101230978966,-0.24299677805962006,False,True,AUTO.LOITER
0.91707,-50.3207687813,74.05456025588367,-81.96830420128953,0,0,0,-0.12041578255593777,-0.0024761101230978966,-0.24299677805962006,False,True,AUTO.LOITER
1.017024,-50.44312145299499,73.9547828190971,-82.13268913856149,0,0,0,-0.06291910447180271,-0.023557906039059162,-0.1619980562763459,False,True,AUTO.LOITER
1.116942,-50.77033126877564,74.05170855337614,-82.55248521440582,0,0,0,-0.06291910447180271,-0.023557906039059162,-0.1619980562763459,False,True,AUTO.LOITER
1.217081,-51.51514313127129,74.09511384429179,-83.36123585225144,0,0,0,-0.04390608612447977,-0.023166941478848457,-0.1559985650037703,False,True,AUTO.LOITER
1.317183,-51.33445367841164,73.78608937076599,-83.4313464380659,0,0,0,-0.04390608612447977,-0.023166941478848457,-0.1559985650037703,False,True,AUTO.LOITER
1.417215,-51.10315789147878,73.440862174382,-83.35789187617172,0,0,0,-0.05093019385822117,0.010084773413836956,-0.19899876737584066,False,True,AUTO.LOITER
1.517239,-51.61714520613664,73.37212577850843,-84.29695740694453,0,0,0,-0.0638343506725505,0.02095147594809532,-0.184998552206892,False,True,AUTO.LOITER
1.61728,-52.04061220558231,73.65399621064718,-85.8924787257641,0,0,0,-0.0638343506725505,0.02095147594809532,-0.184998552206892,False,True,AUTO.LOITER
1.716684,-52.50037464288449,74.15216174502187,-86.98912917225552,0,0,0,-0.013132968917489052,0.021994048729538918,-0.18099990881366068,False,True,AUTO.LOITER
1.816835,-48.52238925896099,74.55561901121732,-84.06827651738449,0,0,0,-0.013132968917489052,0.021994048729538918,-0.18099990881366068,False,True,AUTO.LOITER
1.916859,-47.14089045412378,75.4030557480081,-82.830008603238,0,0,0,-0.02649474935606122,0.05511544179171324,-0.17799994161035215,False,True,AUTO.LOITER
2.017112,-45.9598020514204,76.05043836997014,-81.79127479676244,0,0,0,-0.02649474935606122,0.05511544179171324,-0.17799994161035215,False,True,AUTO.LOITER
2.117052,-47.536651052280774,77.22429633894505,-83.07196424748325,0,0,0,-0.033061233698390424,0.0661124661564827,-0.14999989601737695,False,True,AUTO.LOITER
2.217045,-51.330612649454906,77.81761458950216,-86.68785490584604,0,0,0,-0.033061233698390424,0.0661124661564827,-0.14999989601737695,False,True,AUTO.LOITER
2.317181,-52.37531161687304,78.2857699005063,-87.81843029003377,0,0,0,-0.033061233698390424,0.0661124661564827,-0.14999989601737695,False,True,AUTO.LOITER
2.417213,-52.456942277333255,79.58723200815263,-88.26281623931426,0,0,0,-0.05207425158005208,0.06572150252759457,-0.0949993872898176,False,True,AUTO.LOITER
2.517485,-52.95407595359949,80.41319634928915,-89.57106678637972,0,0,0,-0.05276068649254739,0.09910353925079107,-0.051999759238725574,False,True,AUTO.LOITER
2.617021,-52.49221337169267,80.57220898440762,-89.68318236522178,0,0,0,-0.05276068649254739,0.09910353925079107,-0.051999759238725574,False,True,AUTO.LOITER
2.716694,-52.579255980786485,80.47911348991968,-90.04125806222034,0,0,0,-0.05276068649254739,0.09910353925079107,-0.051999759238725574,False,True,AUTO.LOITER
2.817235,-53.17172332003384,80.29271471731573,-90.77349035630947,0,0,0,-0.027867619297467172,0.12187951616942883,-0.10800068550845765,False,True,AUTO.LOITER
2.917309,-53.16476392883567,80.09000097701849,-90.83194197266278,0,0,0,-0.027867619297467172,0.12187951616942883,-0.10800068550845765,False,True,AUTO.LOITER
3.017187,-54.119080916140824,80.13592010580034,-91.76413124136337,0,0,0,0.03413623571395874,0.18994680792093277,0.017996874832164167,False,True,AUTO.LOITER
3.117014,-54.51494751287249,80.3005438599578,-92.22349518925391,0,0,0,0.07804231927730143,0.21311375126242638,0.0449954398328174,False,True,AUTO.LOITER
3.217001,-54.75454542859355,80.38984598416255,-92.50216559399695,0,0,0,0.07804231927730143,0.21311375126242638,0.0449954398328174,False,True,AUTO.LOITER
3.317256,-54.38607621520693,80.51733055250081,-92.23133315640837,0,0,0,0.10950186976697296,0.2248927066102624,0.05399446796872098,False,True,AUTO.LOITER
